"Airport","DayOfMonth","prcp"
"ATL",1,0
"ATL",2,43
"ATL",3,135
"ATL",4,3
"ATL",5,10
"ATL",6,46
"ATL",7,51
"ATL",8,33
"ATL",9,254
"ATL",10,46
"ATL",11,0
"ATL",12,0
"ATL",13,0
"ATL",14,137
"ATL",15,3
"ATL",16,0
"ATL",17,0
"ATL",18,0
"ATL",19,0
"ATL",20,0
"ATL",21,0
"ATL",22,792
"ATL",23,20
"ATL",24,0
"ATL",25,0
"ATL",26,0
"ATL",27,0
"ATL",28,358
"ATL",29,51
"ATL",30,0
"ATL",31,0
"BOS",1,69
"BOS",2,0
"BOS",3,0
"BOS",4,0
"BOS",5,3
"BOS",6,76
"BOS",7,23
"BOS",8,0
"BOS",9,109
"BOS",10,18
"BOS",11,0
"BOS",12,0
"BOS",13,0
"BOS",14,56
"BOS",15,163
"BOS",16,0
"BOS",17,135
"BOS",18,0
"BOS",19,0
"BOS",20,0
"BOS",21,0
"BOS",22,3
"BOS",23,173
"BOS",24,0
"BOS",25,0
"BOS",26,13
"BOS",27,0
"BOS",28,0
"BOS",29,335
"BOS",30,0
"BOS",31,0
"CLT",1,0
"CLT",2,0
"CLT",3,3
"CLT",4,5
"CLT",5,94
"CLT",6,0
"CLT",7,10
"CLT",8,10
"CLT",9,79
"CLT",10,36
"CLT",11,0
"CLT",12,0
"CLT",13,0
"CLT",14,251
"CLT",15,3
"CLT",16,0
"CLT",17,0
"CLT",18,0
"CLT",19,0
"CLT",20,0
"CLT",21,0
"CLT",22,366
"CLT",23,490
"CLT",24,0
"CLT",25,0
"CLT",26,0
"CLT",27,0
"CLT",28,3
"CLT",29,462
"CLT",30,0
"CLT",31,0
"DEN",1,0
"DEN",2,0
"DEN",3,3
"DEN",4,28
"DEN",5,0
"DEN",6,0
"DEN",7,0
"DEN",8,5
"DEN",9,0
"DEN",10,0
"DEN",11,0
"DEN",12,0
"DEN",13,0
"DEN",14,0
"DEN",15,0
"DEN",16,0
"DEN",17,0
"DEN",18,0
"DEN",19,0
"DEN",20,0
"DEN",21,8
"DEN",22,5
"DEN",23,5
"DEN",24,0
"DEN",25,0
"DEN",26,0
"DEN",27,0
"DEN",28,10
"DEN",29,0
"DEN",30,0
"DEN",31,0
"DFW",1,0
"DFW",2,0
"DFW",3,0
"DFW",4,0
"DFW",5,102
"DFW",6,216
"DFW",7,0
"DFW",8,0
"DFW",9,0
"DFW",10,0
"DFW",11,0
"DFW",12,0
"DFW",13,3
"DFW",14,0
"DFW",15,0
"DFW",16,0
"DFW",17,0
"DFW",18,0
"DFW",19,0
"DFW",20,5
"DFW",21,376
"DFW",22,0
"DFW",23,0
"DFW",24,0
"DFW",25,0
"DFW",26,0
"DFW",27,0
"DFW",28,0
"DFW",29,0
"DFW",30,0
"DFW",31,0
"DTW",1,0
"DTW",2,0
"DTW",3,23
"DTW",4,0
"DTW",5,0
"DTW",6,0
"DTW",7,0
"DTW",8,8
"DTW",9,10
"DTW",10,0
"DTW",11,3
"DTW",12,0
"DTW",13,0
"DTW",14,122
"DTW",15,8
"DTW",16,20
"DTW",17,8
"DTW",18,0
"DTW",19,0
"DTW",20,86
"DTW",21,224
"DTW",22,64
"DTW",23,5
"DTW",24,0
"DTW",25,3
"DTW",26,13
"DTW",27,0
"DTW",28,0
"DTW",29,0
"DTW",30,0
"DTW",31,20
"EWR",1,0
"EWR",2,0
"EWR",3,0
"EWR",4,0
"EWR",5,3
"EWR",6,203
"EWR",7,38
"EWR",8,25
"EWR",9,86
"EWR",10,69
"EWR",11,0
"EWR",12,0
"EWR",13,0
"EWR",14,122
"EWR",15,104
"EWR",16,0
"EWR",17,46
"EWR",18,0
"EWR",19,0
"EWR",20,0
"EWR",21,0
"EWR",22,8
"EWR",23,135
"EWR",24,0
"EWR",25,0
"EWR",26,0
"EWR",27,0
"EWR",28,0
"EWR",29,335
"EWR",30,0
"EWR",31,0
"IAH",1,0
"IAH",2,0
"IAH",3,0
"IAH",4,0
"IAH",5,0
"IAH",6,3
"IAH",7,0
"IAH",8,0
"IAH",9,18
"IAH",10,0
"IAH",11,0
"IAH",12,0
"IAH",13,15
"IAH",14,0
"IAH",15,0
"IAH",16,0
"IAH",17,0
"IAH",18,0
"IAH",19,8
"IAH",20,0
"IAH",21,376
"IAH",22,3
"IAH",23,0
"IAH",24,0
"IAH",25,0
"IAH",26,0
"IAH",27,0
"IAH",28,0
"IAH",29,0
"IAH",30,0
"IAH",31,0
"JFK",1,0
"JFK",2,0
"JFK",3,0
"JFK",4,0
"JFK",5,3
"JFK",6,145
"JFK",7,43
"JFK",8,8
"JFK",9,64
"JFK",10,71
"JFK",11,0
"JFK",12,0
"JFK",13,0
"JFK",14,145
"JFK",15,208
"JFK",16,0
"JFK",17,33
"JFK",18,0
"JFK",19,0
"JFK",20,0
"JFK",21,0
"JFK",22,0
"JFK",23,124
"JFK",24,0
"JFK",25,0
"JFK",26,0
"JFK",27,0
"JFK",28,0
"JFK",29,300
"JFK",30,0
"JFK",31,0
"LAS",1,0
"LAS",2,0
"LAS",3,8
"LAS",4,5
"LAS",5,0
"LAS",6,0
"LAS",7,0
"LAS",8,0
"LAS",9,0
"LAS",10,0
"LAS",11,0
"LAS",12,0
"LAS",13,0
"LAS",14,0
"LAS",15,0
"LAS",16,0
"LAS",17,0
"LAS",18,0
"LAS",19,0
"LAS",20,0
"LAS",21,0
"LAS",22,0
"LAS",23,0
"LAS",24,0
"LAS",25,0
"LAS",26,0
"LAS",27,0
"LAS",28,0
"LAS",29,0
"LAS",30,0
"LAS",31,0
"LAX",1,0
"LAX",2,0
"LAX",3,0
"LAX",4,0
"LAX",5,0
"LAX",6,0
"LAX",7,66
"LAX",8,0
"LAX",9,0
"LAX",10,0
"LAX",11,0
"LAX",12,0
"LAX",13,0
"LAX",14,0
"LAX",15,0
"LAX",16,0
"LAX",17,0
"LAX",18,0
"LAX",19,10
"LAX",20,0
"LAX",21,0
"LAX",22,0
"LAX",23,0
"LAX",24,0
"LAX",25,0
"LAX",26,0
"LAX",27,0
"LAX",28,0
"LAX",29,0
"LAX",30,0
"LAX",31,0
"LGA",1,0
"LGA",2,0
"LGA",3,0
"LGA",4,0
"LGA",5,3
"LGA",6,185
"LGA",7,33
"LGA",8,13
"LGA",9,53
"LGA",10,56
"LGA",11,0
"LGA",12,0
"LGA",13,0
"LGA",14,112
"LGA",15,196
"LGA",16,0
"LGA",17,41
"LGA",18,0
"LGA",19,0
"LGA",20,0
"LGA",21,0
"LGA",22,3
"LGA",23,135
"LGA",24,0
"LGA",25,0
"LGA",26,0
"LGA",27,0
"LGA",28,0
"LGA",29,305
"LGA",30,0
"LGA",31,0
"MCO",1,0
"MCO",2,0
"MCO",3,0
"MCO",4,0
"MCO",5,0
"MCO",6,0
"MCO",7,0
"MCO",8,0
"MCO",9,0
"MCO",10,0
"MCO",11,0
"MCO",12,0
"MCO",13,0
"MCO",14,3
"MCO",15,46
"MCO",16,0
"MCO",17,0
"MCO",18,0
"MCO",19,0
"MCO",20,0
"MCO",21,0
"MCO",22,0
"MCO",23,0
"MCO",24,0
"MCO",25,0
"MCO",26,0
"MCO",27,3
"MCO",28,3
"MCO",29,15
"MCO",30,0
"MCO",31,0
"MIA",1,53
"MIA",2,0
"MIA",3,0
"MIA",4,0
"MIA",5,0
"MIA",6,0
"MIA",7,33
"MIA",8,15
"MIA",9,0
"MIA",10,0
"MIA",11,10
"MIA",12,0
"MIA",13,3
"MIA",14,3
"MIA",15,0
"MIA",16,0
"MIA",17,0
"MIA",18,0
"MIA",19,0
"MIA",20,0
"MIA",21,0
"MIA",22,0
"MIA",23,0
"MIA",24,0
"MIA",25,23
"MIA",26,952
"MIA",27,64
"MIA",28,30
"MIA",29,0
"MIA",30,0
"MIA",31,0
"MSP",1,0
"MSP",2,30
"MSP",3,20
"MSP",4,132
"MSP",5,0
"MSP",6,0
"MSP",7,0
"MSP",8,18
"MSP",9,0
"MSP",10,15
"MSP",11,0
"MSP",12,0
"MSP",13,5
"MSP",14,15
"MSP",15,0
"MSP",16,25
"MSP",17,0
"MSP",18,0
"MSP",19,8
"MSP",20,5
"MSP",21,0
"MSP",22,8
"MSP",23,0
"MSP",24,58
"MSP",25,5
"MSP",26,3
"MSP",27,0
"MSP",28,0
"MSP",29,0
"MSP",30,23
"MSP",31,0
"ORD",1,0
"ORD",2,18
"ORD",3,5
"ORD",4,5
"ORD",5,0
"ORD",6,0
"ORD",7,0
"ORD",8,61
"ORD",9,0
"ORD",10,0
"ORD",11,13
"ORD",12,0
"ORD",13,3
"ORD",14,58
"ORD",15,0
"ORD",16,13
"ORD",17,3
"ORD",18,0
"ORD",19,15
"ORD",20,79
"ORD",21,61
"ORD",22,51
"ORD",23,0
"ORD",24,3
"ORD",25,18
"ORD",26,0
"ORD",27,0
"ORD",28,0
"ORD",29,3
"ORD",30,10
"ORD",31,76
"PHL",1,0
"PHL",2,0
"PHL",3,0
"PHL",4,0
"PHL",5,0
"PHL",6,196
"PHL",7,18
"PHL",8,145
"PHL",9,249
"PHL",10,69
"PHL",11,0
"PHL",12,0
"PHL",13,0
"PHL",14,178
"PHL",15,18
"PHL",16,0
"PHL",17,13
"PHL",18,0
"PHL",19,0
"PHL",20,0
"PHL",21,0
"PHL",22,10
"PHL",23,124
"PHL",24,0
"PHL",25,0
"PHL",26,0
"PHL",27,0
"PHL",28,0
"PHL",29,302
"PHL",30,0
"PHL",31,0
"PHX",1,0
"PHX",2,0
"PHX",3,0
"PHX",4,0
"PHX",5,0
"PHX",6,0
"PHX",7,0
"PHX",8,0
"PHX",9,0
"PHX",10,0
"PHX",11,0
"PHX",12,0
"PHX",13,0
"PHX",14,0
"PHX",15,0
"PHX",16,0
"PHX",17,0
"PHX",18,0
"PHX",19,41
"PHX",20,58
"PHX",21,0
"PHX",22,0
"PHX",23,0
"PHX",24,0
"PHX",25,0
"PHX",26,0
"PHX",27,0
"PHX",28,0
"PHX",29,0
"PHX",30,0
"PHX",31,0
"SEA",1,30
"SEA",2,46
"SEA",3,0
"SEA",4,0
"SEA",5,0
"SEA",6,0
"SEA",7,0
"SEA",8,0
"SEA",9,0
"SEA",10,0
"SEA",11,0
"SEA",12,69
"SEA",13,5
"SEA",14,0
"SEA",15,13
"SEA",16,3
"SEA",17,0
"SEA",18,13
"SEA",19,0
"SEA",20,56
"SEA",21,56
"SEA",22,107
"SEA",23,15
"SEA",24,0
"SEA",25,0
"SEA",26,0
"SEA",27,3
"SEA",28,0
"SEA",29,0
"SEA",30,3
"SEA",31,5
"SFO",1,0
"SFO",2,0
"SFO",3,0
"SFO",4,0
"SFO",5,0
"SFO",6,74
"SFO",7,15
"SFO",8,0
"SFO",9,0
"SFO",10,0
"SFO",11,0
"SFO",12,0
"SFO",13,0
"SFO",14,0
"SFO",15,0
"SFO",16,0
"SFO",17,0
"SFO",18,0
"SFO",19,0
"SFO",20,0
"SFO",21,0
"SFO",22,0
"SFO",23,0
"SFO",24,0
"SFO",25,0
"SFO",26,0
"SFO",27,0
"SFO",28,0
"SFO",29,0
"SFO",30,0
"SFO",31,0
